Date,Gold_EUR,Silver_EUR,Platinum_EUR,Palladium_EUR
1977-01-05,166.1,5.57,181.7,61.6
1977-01-06,170.15,5.61,182.4,62.6
1977-01-07,168.34,5.53,183.0,64.16
1977-01-10,156.26,5.54,181.6,63.8
1977-01-11,159.49,5.54,182.6,63.33
1977-01-12,160.65,5.57,185.7,63.55
1977-01-13,162.15,5.59,186.9,65.45
1977-01-14,168.14,5.59,186.7,66.81
1977-01-17,169.66,5.68,189.6,66.83
1977-01-18,163.56,5.69,193.8,67.77
1977-01-19,171.38,5.71,193.5,68.45
1977-01-20,170.96,5.72,193.8,70.75
1977-01-21,164.41,5.73,197.1,71.36
1977-01-24,171.96,5.89,200.8,72.51
1977-01-25,174.65,5.9,200.9,73.32
1977-01-26,165.19,5.95,200.0,73.32
1977-01-27,164.41,5.84,196.2,73.25
1977-01-28,165.65,5.84,196.4,72.79
1977-01-31,171.34,5.8,194.7,71.84
1977-02-01,168.57,5.8,195.7,71.76
1977-02-02,171.96,5.83,198.2,71.91
1977-02-03,170.39,5.86,199.5,73.77
1977-02-04,172.3,5.89,199.4,73.17
1977-02-07,168.85,5.87,199.8,73.16
1977-02-08,174.27,5.89,201.2,73.25
1977-02-09,169.26,5.85,200.5,72.96
1977-02-10,174.36,5.82,198.4,72.61
1977-02-11,174.8,5.79,196.6,71.99
1977-02-14,173.48,5.78,196.2,71.4
1977-02-15,173.9,5.78,195.3,71.11
1977-02-16,174.98,5.83,196.7,71.17
1977-02-17,175.31,5.84,196.3,71.43
1977-02-18,175.66,5.83,196.6,71.15
1977-02-22,172.94,5.86,198.0,71.26
1977-02-23,174.45,5.95,199.1,71.87
1977-02-24,176.75,5.96,199.2,71.98
1977-02-25,176.28,6.0,198.6,71.69
1977-02-28,178.83,6.06,203.7,72.51
1977-03-01,177.87,6.1,203.9,72.13
1977-03-02,182.61,6.16,204.2,72.23
1977-03-03,180.65,6.07,202.2,72.14
1977-03-04,183.39,6.22,204.1,72.28
1977-03-07,183.61,6.24,206.3,72.0
1977-03-08,183.69,6.2,204.2,71.71
1977-03-09,183.89,6.25,205.5,71.59
1977-03-10,182.23,6.13,201.2,70.78
1977-03-11,181.54,6.16,201.0,68.95
1977-03-14,180.68,6.12,194.8,69.47
1977-03-15,183.65,6.23,198.5,69.97
1977-03-16,184.93,6.23,198.9,69.82
1977-03-17,186.05,6.25,200.6,69.49
1977-03-18,187.03,6.28,200.5,69.74
1977-03-21,190.25,6.35,205.6,69.34
1977-03-22,186.92,6.26,202.7,69.7
1977-03-23,190.47,6.34,203.0,69.45
1977-03-24,189.62,6.28,203.7,69.54
1977-03-25,189.82,6.22,202.8,69.16
1977-03-28,185.32,6.09,199.1,68.38
1977-03-29,184.23,6.13,199.3,67.58
1977-03-30,185.57,6.13,200.4,67.61
1977-03-31,185.09,6.14,199.1,67.91
1977-04-01,186.7,6.24,200.8,68.2
1977-04-04,185.19,6.17,199.0,68.02
1977-04-05,180.87,5.99,196.8,68.09
1977-04-06,182.33,5.98,196.4,67.18
1977-04-07,182.83,6.04,196.5,66.28
1977-04-11,184.21,6.04,197.3,66.62
1977-04-12,184.33,6.0,197.0,66.76
1977-04-13,186.79,6.01,197.2,66.8
1977-04-14,186.27,6.04,196.5,66.46
1977-04-15,185.18,6.11,197.4,66.58
1977-04-18,184.65,6.12,197.0,66.32
1977-04-19,183.69,6.09,197.9,66.5
1977-04-20,181.77,6.08,196.6,66.03
1977-04-21,182.53,6.1,196.0,64.86
1977-04-22,182.56,6.1,196.3,65.31
1977-04-25,180.19,6.0,195.1,64.88
1977-04-26,178.34,6.01,192.0,64.43
1977-04-27,178.02,5.92,189.8,64.47
1977-04-28,176.66,5.89,188.4,64.64
1977-04-29,178.64,5.96,189.5,64.7
1977-05-02,180.7,5.99,190.0,64.62
1977-05-03,179.16,5.96,191.3,65.05
1977-05-04,178.18,5.9,191.3,64.41
1977-05-05,177.79,5.88,190.0,64.08
1977-05-06,178.98,5.9,189.7,64.0
1977-05-09,179.27,5.92,190.2,66.05
1977-05-10,179.37,5.99,190.5,65.93
1977-05-11,179.44,5.97,191.1,66.18
1977-05-12,179.5,6.0,190.1,64.16
1977-05-13,179.78,5.98,190.6,65.83
1977-05-16,179.91,5.99,190.1,63.48
1977-05-17,178.33,5.92,188.9,62.75
1977-05-18,177.49,5.92,186.8,61.54
1977-05-19,183.04,5.89,185.7,62.7
1977-05-20,183.2,5.8,183.7,61.23
1977-05-23,181.23,5.83,181.0,59.52
1977-05-24,179.27,5.84,184.2,59.39
1977-05-25,179.21,5.69,188.0,60.91
1977-05-26,177.01,5.8,189.1,60.25
1977-05-27,179.06,5.7,188.1,60.69
1977-05-31,177.94,5.69,187.3,59.76
1977-06-01,178.73,5.73,188.0,60.66
1977-06-02,176.79,5.67,186.6,58.45
1977-06-03,176.96,5.72,186.4,57.42
1977-06-06,178.07,5.77,186.1,55.68
1977-06-07,177.3,5.67,185.7,54.62
1977-06-08,176.0,5.54,183.4,53.47
1977-06-09,173.38,5.54,180.5,51.87
1977-06-10,171.85,5.46,181.3,54.9
1977-06-13,170.6,5.5,178.1,51.87
1977-06-14,169.31,5.5,176.2,52.08
1977-06-15,172.56,5.45,179.3,53.74
1977-06-16,172.3,5.54,177.6,55.66
1977-06-17,172.81,5.59,178.7,54.7
1977-06-20,173.6,5.55,180.4,54.92
1977-06-21,174.45,5.61,182.1,55.29
1977-06-22,172.95,5.58,180.7,55.43
1977-06-23,174.03,5.51,181.8,55.43
1977-06-24,174.28,5.56,188.4,55.68
1977-06-27,177.49,5.57,184.5,55.78
1977-06-28,175.72,5.65,183.5,55.8
1977-06-29,175.4,5.67,182.2,55.79
1977-06-30,175.37,5.52,182.5,56.06
1977-07-01,173.29,5.5,178.6,55.08
1977-07-05,169.75,5.45,176.4,54.57
1977-07-06,170.55,5.49,176.4,54.28
1977-07-07,170.65,5.43,174.9,53.69
1977-07-08,170.84,5.43,174.3,53.48
1977-07-11,168.5,5.44,172.5,52.34
1977-07-12,171.43,5.47,172.7,52.52
1977-07-13,172.55,5.5,173.1,51.94
1977-07-15,172.3,5.52,174.8,52.32
1977-07-18,172.44,5.48,173.8,52.09
1977-07-19,171.78,5.56,175.6,52.22
1977-07-20,170.84,5.5,174.3,51.61
1977-07-21,170.21,5.49,174.7,51.67
1977-07-22,171.05,5.51,175.4,51.42
1977-07-25,172.62,5.61,176.2,51.66
1977-07-26,171.77,5.5,174.7,51.38
1977-07-27,171.1,5.46,174.7,50.59
1977-07-28,170.77,5.45,174.0,50.86
1977-07-29,172.77,5.49,175.1,51.21
1977-08-01,174.76,5.5,174.4,50.94
1977-08-02,174.25,5.58,175.1,50.41
1977-08-04,175.22,5.61,176.4,51.06
1977-08-05,175.41,5.62,175.1,51.26
1977-08-08,177.11,5.52,175.7,50.89
1977-08-09,175.8,5.5,176.3,50.31
1977-08-10,176.8,5.52,175.6,51.04
1977-08-11,176.72,5.49,174.8,50.9
1977-08-12,174.68,5.4,171.9,50.73
1977-08-15,173.21,5.27,171.1,49.8
1977-08-16,175.04,5.33,172.6,50.51
1977-08-17,174.81,5.31,172.4,50.27
1977-08-18,175.48,5.36,172.4,50.26
1977-08-19,175.28,5.36,172.1,50.27
1977-08-22,174.13,5.29,171.6,49.9
1977-08-23,174.18,5.31,173.2,50.09
1977-08-24,173.68,5.28,171.4,49.89
1977-08-25,174.24,5.29,172.6,50.46
1977-08-26,176.21,5.31,172.9,49.92
1977-08-29,176.69,5.32,173.8,50.11
1977-08-30,176.87,5.4,174.7,50.26
1977-08-31,176.04,5.39,174.5,50.4
1977-09-01,176.34,5.38,173.5,50.3
1977-09-02,179.31,5.44,174.3,51.37
1977-09-06,177.74,5.4,175.1,50.83
1977-09-07,178.97,5.44,174.9,50.98
1977-09-08,177.92,5.38,176.8,50.85
1977-09-09,179.28,5.42,177.5,51.5
1977-09-12,179.44,5.39,176.9,51.1
1977-09-13,179.06,5.38,176.7,50.26
1977-09-14,179.75,5.39,177.1,50.08
1977-09-15,179.36,5.42,178.0,50.0
1977-09-16,180.81,5.51,179.1,50.48
1977-09-19,181.25,5.66,180.8,50.56
1977-09-20,182.83,5.56,180.8,50.86
1977-09-21,183.36,5.71,183.7,50.48
1977-09-22,183.89,5.71,183.8,50.6
1977-09-23,183.68,5.67,182.5,50.57
1977-09-26,185.99,5.77,185.4,50.94
1977-09-27,185.59,5.73,184.2,51.03
1977-09-28,185.59,5.73,184.5,50.57
1977-09-29,185.47,5.74,183.7,50.77
1977-09-30,185.15,5.71,182.8,50.2
1977-10-03,185.43,5.69,183.0,50.41
1977-10-04,186.0,5.73,183.4,51.04
1977-10-05,184.97,5.7,181.7,50.73
1977-10-06,182.86,5.69,179.6,50.56
1977-10-07,185.06,5.69,179.9,50.0
1977-10-10,187.06,5.81,181.8,49.88
1977-10-11,189.09,5.88,182.8,50.05
1977-10-12,188.19,5.84,182.5,49.99
1977-10-13,187.14,5.79,181.7,49.4
1977-10-14,189.19,5.85,183.1,49.72
1977-10-17,190.53,5.85,183.6,49.46
1977-10-18,188.74,5.82,182.5,49.22
1977-10-19,186.78,5.78,183.5,49.43
1977-10-20,189.37,5.8,184.4,49.29
1977-10-21,191.51,5.84,187.9,49.31
1977-10-24,193.14,5.89,190.5,50.66
1977-10-25,193.2,5.88,191.8,51.29
1977-10-26,190.42,5.83,191.0,52.56
1977-10-27,188.11,5.73,190.0,52.7
1977-10-28,187.96,5.8,193.9,53.83
1977-10-31,187.81,5.96,195.4,53.33
1977-11-01,187.87,5.78,196.3,53.05
1977-11-02,188.62,5.79,195.9,51.95
1977-11-03,191.4,6.09,196.9,53.7
1977-11-04,194.81,5.85,199.9,57.41
1977-11-07,192.72,6.02,197.9,58.56
1977-11-08,194.23,5.91,197.9,57.4
1977-11-09,194.9,5.93,199.8,60.6
1977-11-10,194.27,5.9,198.9,61.03
1977-11-11,194.5,5.81,197.7,64.83
1977-11-14,189.24,5.65,195.5,64.39
1977-11-15,188.43,5.68,196.2,63.27
1977-11-16,182.43,5.64,191.4,62.08
1977-11-17,185.07,5.68,192.2,60.96
1977-11-18,185.53,5.68,192.3,60.54
1977-11-21,178.17,5.89,181.3,55.91
1977-11-22,178.5,5.89,184.8,55.42
1977-11-23,183.91,5.5,187.5,58.25
1977-11-25,183.97,5.5,193.2,58.44
1977-11-28,185.08,5.47,197.5,60.41
1977-11-29,185.61,5.52,196.7,59.17
1977-11-30,184.94,5.53,198.5,60.73
1977-12-01,181.16,5.4,196.8,62.32
1977-12-02,181.07,5.39,196.0,62.32
1977-12-05,181.48,5.42,199.3,62.07
1977-12-06,180.36,5.37,197.1,60.97
1977-12-07,181.7,5.42,197.9,58.2
1977-12-08,180.97,5.42,197.5,57.42
1977-12-09,179.27,5.39,195.5,57.25
1977-12-12,175.25,5.24,192.3,57.19
1977-12-13,175.95,5.23,191.9,57.69
1977-12-14,176.73,5.16,191.1,56.58
1977-12-15,177.34,5.19,192.6,55.89
1977-12-16,177.13,5.2,193.4,56.78
1977-12-19,174.14,5.09,191.6,54.15
1977-12-20,175.68,5.19,191.6,54.06
1977-12-21,174.8,5.11,191.0,53.78
1977-12-22,179.58,5.27,198.5,54.46
1977-12-23,181.63,5.3,200.3,55.03
1977-12-27,183.18,5.32,201.8,56.65
1977-12-28,181.07,5.27,201.5,56.54
1977-12-29,180.69,5.25,201.2,56.89
1977-12-30,180.17,5.22,200.8,56.36
1978-01-03,183.65,5.29,205.1,58.28
1978-01-04,177.85,5.16,197.4,57.8
1978-01-05,188.54,5.46,208.5,58.73
1978-01-06,187.07,5.38,209.3,58.97
1978-01-09,190.88,5.48,214.1,58.82
1978-01-10,189.29,5.43,212.2,59.04
1978-01-11,189.72,5.94,213.5,58.22
1978-01-12,188.61,5.39,212.7,58.25
1978-01-13,190.74,5.47,215.6,58.04
1978-01-16,197.26,5.93,216.7,58.21
1978-01-17,195.82,5.98,219.7,57.54
1978-01-18,193.88,5.85,216.5,57.19
1978-01-19,194.87,5.86,219.7,58.12
1978-01-23,197.06,6.03,228.6,59.66
1978-01-24,196.76,6.02,234.7,61.51
1978-01-25,195.82,6.02,236.9,64.05
1978-01-26,196.11,5.97,237.7,67.78
1978-01-27,195.35,5.97,238.2,69.46
1978-01-30,194.57,5.86,231.4,70.1
1978-01-31,196.56,5.9,234.8,68.55
1978-02-01,195.79,5.86,236.1,69.64
